Dy  01_R 01_S  02_R 02_S  03_R 03_S  04_R 04_S  05_R 05_S  06_R 06_S  07_R 07_S  08_R 08_S  09_R 09_S  10_R 10_S  11_R 11_S  12_R 12_S
01  0809 1717  0753 1754  0714 1830  0621 1906  0534 1940  0504 2011  0506 2021  0532 1959  0605 1913  0637 1820  0713 1732  0750 1707
02  0809 1718  0752 1755  0713 1831  0620 1907  0533 1941  0504 2011  0506 2020  0533 1958  0606 1911  0638 1819  0715 1731  0751 1707
03  0809 1719  0751 1756  0711 1832  0618 1908  0531 1942  0504 2012  0507 2020  0534 1957  0607 1910  0639 1817  0716 1729  0752 1707
04  0809 1720  0750 1758  0710 1833  0616 1909  0530 1943  0503 2013  0508 2020  0535 1955  0608 1908  0640 1815  0717 1728  0753 1706
05  0809 1721  0749 1759  0708 1834  0614 1910  0529 1944  0503 2013  0508 2020  0536 1954  0609 1906  0641 1813  0719 1727  0754 1706
06  0809 1722  0747 1800  0706 1836  0613 1911  0527 1945  0503 2014  0509 2019  0537 1953  0610 1904  0643 1812  0720 1726  0755 1706
07  0809 1723  0746 1801  0705 1837  0611 1913  0526 1946  0502 2015  0510 2019  0538 1952  0611 1903  0644 1810  0721 1725  0756 1706
08  0809 1724  0745 1803  0703 1838  0609 1914  0525 1948  0502 2015  0510 2019  0539 1950  0612 1901  0645 1808  0722 1724  0757 1706
09  0809 1725  0744 1804  0701 1839  0608 1915  0524 1949  0502 2016  0511 2018  0540 1949  0613 1859  0646 1807  0724 1723  0758 1706
10  0808 1726  0743 1805  0700 1840  0606 1916  0523 1950  0502 2016  0512 2018  0541 1948  0614 1857  0647 1805  0725 1722  0759 1706
11  0808 1727  0741 1807  0658 1842  0604 1917  0521 1951  0502 2017  0512 2017  0542 1946  0615 1856  0648 1803  0726 1720  0759 1706
12  0808 1729  0740 1808  0656 1843  0603 1918  0520 1952  0501 2017  0513 2017  0543 1945  0616 1854  0649 1802  0727 1719  0800 1706
13  0807 1730  0739 1809  0654 1844  0601 1919  0519 1953  0501 2018  0514 2016  0544 1943  0617 1852  0651 1800  0729 1719  0801 1707
14  0807 1731  0737 1811  0653 1845  0559 1921  0518 1954  0501 2018  0515 2015  0546 1942  0619 1850  0652 1758  0730 1718  0802 1707
15  0806 1732  0736 1812  0651 1846  0558 1922  0517 1955  0501 2019  0516 2015  0547 1940  0620 1849  0653 1757  0731 1717  0802 1707
16  0806 1733  0734 1813  0649 1847  0556 1923  0516 1956  0501 2019  0516 2014  0548 1939  0621 1847  0654 1755  0732 1716  0803 1707
17  0805 1734  0733 1814  0647 1849  0555 1924  0515 1957  0501 2019  0517 2013  0549 1937  0622 1845  0655 1754  0734 1715  0804 1708
18  0805 1736  0731 1816  0646 1850  0553 1925  0514 1958  0502 2020  0518 2013  0550 1936  0623 1843  0656 1752  0735 1714  0804 1708
19  0804 1737  0730 1817  0644 1851  0551 1926  0513 1959  0502 2020  0519 2012  0551 1934  0624 1842  0658 1750  0736 1713  0805 1708
20  0804 1738  0729 1818  0642 1852  0550 1927  0513 2000  0502 2020  0520 2011  0552 1933  0625 1840  0659 1749  0737 1713  0806 1709
21  0803 1739  0727 1820  0640 1853  0548 1928  0512 2001  0502 2021  0521 2010  0553 1931  0626 1838  0700 1747  0738 1712  0806 1709
22  0802 1741  0726 1821  0639 1854  0547 1930  0511 2002  0502 2021  0522 2009  0554 1930  0627 1836  0701 1746  0740 1711  0807 1710
23  0801 1742  0724 1822  0637 1856  0545 1931  0510 2003  0503 2021  0523 2008  0555 1928  0628 1834  0702 1744  0741 1711  0807 1710
24  0801 1743  0722 1823  0635 1857  0544 1932  0509 2004  0503 2021  0524 2007  0556 1926  0629 1833  0704 1743  0742 1710  0807 1711
25  0800 1744  0721 1825  0634 1858  0542 1933  0509 2005  0503 2021  0525 2007  0557 1925  0630 1831  0705 1742  0743 1710  0808 1712
26  0759 1746  0719 1826  0632 1859  0541 1934  0508 2006  0504 2021  0526 2006  0558 1923  0631 1829  0706 1740  0744 1709  0808 1712
27  0758 1747  0718 1827  0630 1900  0539 1935  0507 2006  0504 2021  0527 2005  0559 1921  0633 1827  0707 1739  0745 1709  0808 1713
28  0757 1748  0716 1828  0628 1901  0538 1936  0507 2007  0504 2021  0528 2003  0600 1920  0634 1826  0708 1737  0747 1708  0809 1714
29  0756 1750   NA   NA   0627 1902  0537 1938  0506 2008  0505 2021  0529 2002  0602 1918  0635 1824  0710 1736  0748 1708  0809 1715
30  0755 1751   NA   NA   0625 1903  0535 1939  0505 2009  0505 2021  0530 2001  0603 1916  0636 1822  0711 1735  0749 1707  0809 1715
31  0754 1752   NA   NA   0623 1905   NA   NA   0505 2010   NA   NA   0531 2000  0604 1915   NA   NA   0712 1733   NA   NA   0809 1716
